16:17:50.043 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server ended sending FILE_CREATION_SUCCESS response to client with ip - 127.0.0.1
16:17:50.044 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server started receiving 3-lalalalal file from the client with ip - 127.0.0.1
16:17:50.138 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Instantaneous speed for client (127.0.0.1) is: 5446B/s
16:17:50.139 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Average speed for client (127.0.0.1) is: 5446B/s
16:17:50.139 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server ended receiving 3-lalalalal file from the client with ip - 127.0.0.1
16:17:50.139 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server started sending status about file receiving to the client with ip - 127.0.0.1
16:17:50.139 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server ended sending status about file receiving to the client with ip - 127.0.0.1
16:17:50.140 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server stopped serving the client with ip - 127.0.0.1
16:17:50.723 [main] INFO  ru.nsu.ccfit.shishmakov.server.ServerRoutine - Client with ip - 127.0.0.1 has been connected
16:17:50.724 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server started receiving FileInfo from the client with ip: 127.0.0.1
16:17:50.777 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server ended receiving FileInfo from the client with ip: 127.0.0.1
16:17:50.777 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server started sending FILE_CREATION_SUCCESS response to client with ip - 127.0.0.1
16:17:50.778 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server ended sending FILE_CREATION_SUCCESS response to client with ip - 127.0.0.1
16:17:50.778 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server started receiving 4-lalalalal file from the client with ip - 127.0.0.1
16:17:50.866 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Instantaneous speed for client (127.0.0.1) is: 5818B/s
16:17:50.866 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Average speed for client (127.0.0.1) is: 5818B/s
16:17:50.866 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server ended receiving 4-lalalalal file from the client with ip - 127.0.0.1
16:17:50.867 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server started sending status about file receiving to the client with ip - 127.0.0.1
16:17:50.867 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server ended sending status about file receiving to the client with ip - 127.0.0.1
16:17:50.867 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server stopped serving the client with ip - 127.0.0.1
16:18:25.435 [main] INFO  ru.nsu.ccfit.shishmakov.server.ServerRoutine - Client with ip - 127.0.0.1 has been connected
16:18:25.437 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server started receiving FileInfo from the client with ip: 127.0.0.1
16:18:25.489 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server ended receiving FileInfo from the client with ip: 127.0.0.1
16:18:25.490 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server started sending FILE_CREATION_SUCCESS response to client with ip - 127.0.0.1
16:18:25.491 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server ended sending FILE_CREATION_SUCCESS response to client with ip - 127.0.0.1
16:18:25.491 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server started receiving file.txt file from the client with ip - 127.0.0.1
16:18:28.491 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Instantaneous speed for client (127.0.0.1) is: 57824853B/s
16:18:28.491 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Average speed for client (127.0.0.1) is: 57824853B/s
16:18:31.491 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Instantaneous speed for client (127.0.0.1) is: 63619669B/s
16:18:31.491 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Average speed for client (127.0.0.1) is: 60722261B/s
16:18:33.991 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server ended receiving file.txt file from the client with ip - 127.0.0.1
16:18:33.991 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server started sending status about file receiving to the client with ip - 127.0.0.1
16:18:33.991 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server ended sending status about file receiving to the client with ip - 127.0.0.1
16:18:34.438 [pool-2-thread-1] INFO  ru.nsu.ccfit.shishmakov.handler.ClientHandler - Server stopped serving the client with ip - 127.0.0.1
